time_s,position_cm,theta_raw_cm
0.0,13.775,2.525
0.001,13.625,2.5375
0.002,13.4625,2.5375
0.003,13.3,2.5375
0.004,13.1625,2.55
0.005,13.0,2.55
0.006,12.85,2.55
0.007,12.7,2.575
0.008,12.55,2.575
0.009,12.3875,2.575
0.01,12.2375,2.5875
0.011,12.0875,2.6
0.012,11.925,2.5875
0.013,11.7875,2.6
0.014,11.625,2.6
0.015,11.475,2.6
0.016,11.325,2.6125
0.017,11.175,2.6
0.018,11.025,2.6125
0.019,10.875,2.6375
0.02,10.725,2.6375
0.021,10.5875,2.6375
0.022,10.4375,2.6375
0.023,10.2875,2.6375
0.024,10.15,2.65
0.025,10.0,2.65
0.026,9.85,2.6625
0.027,9.7125,2.6625
0.028,9.5625,2.6625
0.029,9.425,2.6625
0.03,9.2875,2.675
0.031,9.15,2.675
0.032,9.0125,2.6875
0.033,8.875,2.7
0.034,8.7375,2.7
0.035,8.5875,2.6875
0.036,8.45,2.7
0.037,8.3125,2.7
0.038,8.175,2.6875
0.039,8.05,2.7125
0.04,7.925,2.7125
0.041,7.8,2.7125
0.042,7.65,2.7
0.043,7.525,2.7125
0.044,7.3875,2.7125
0.045,7.2625,2.725
0.046,7.1375,2.7125
0.047,7.0125,2.7125
0.048,6.8875,2.725
0.049,6.7625,2.725
0.05,6.6375,2.725
0.051,6.5125,2.725
0.052,6.4,2.7375
0.053,6.2625,2.725
0.054,6.15,2.725
0.055,6.0375,2.725
0.056,5.925,2.7375
0.057,5.8125,2.7375
0.058,5.7,2.7375
0.059,5.5875,2.7375
0.06,5.475,2.7375
0.061,5.3625,2.7375
0.062,5.2625,2.75
0.063,5.15,2.7375
0.064,5.05,2.725
0.065,4.95,2.7375
0.066,4.85,2.7375
0.067,4.75,2.7375
0.068,4.65,2.725
0.069,4.5625,2.75
0.07,4.475,2.75
0.071,4.3875,2.75
0.072,4.3,2.75
0.073,4.2125,2.7375
0.074,4.125,2.7375
0.075,4.05,2.7375
0.076,3.975,2.7375
0.077,6.1125,0.0125
0.078,6.125,0.0125
0.079,3.75,2.7875
0.08,3.6875,2.8125
0.081,3.625,2.8125
0.082,3.5625,2.825
0.083,6.1625,0.025
0.084,6.1625,0.025
0.085,6.1875,0.0375
0.086,6.1875,0.025
0.087,6.2,0.025
0.088,6.2,0.0375
0.089,6.2,0.0125
0.09,6.2125,0.0125
0.091,6.225,0.0375
0.092,6.2375,0.05
0.093,6.2375,0.0375
0.094,6.25,0.0125
0.095,6.2625,0.05
0.096,6.2375,0.0125
0.097,6.2625,0.0125
0.098,6.2625,0.0125
0.099,6.2875,0.0125
0.1,6.3,0.0125
0.101,6.3,0.0375
0.102,6.3,0.0125
0.103,6.325,0.0125
0.104,6.3375,0.05
0.105,6.3375,0.0375
0.106,6.35,0.0125
0.107,6.3625,0.0125
0.108,6.3625,0.025
0.109,6.375,0.025
0.11,6.4875,0.0125
0.111,6.4,0.0375
0.112,6.4,0.0125
0.113,6.4125,0.0125
0.114,6.4125,0.0125
0.115,6.425,0.0125
0.116,6.4375,0.0125
0.117,0.3375,0.1625
0.118,6.45,0.0125
0.119,6.6125,0.025
0.12,0.4125,0.025
0.121,3.4125,2.7375
0.122,3.475,2.75
0.123,3.525,2.75
0.124,3.575,2.75
0.125,3.6375,2.7375
0.126,3.7,2.75
0.127,3.7625,2.7375
0.128,3.8375,2.75
0.129,3.9,2.7375
0.13,3.975,2.75
0.131,4.05,2.7375
0.132,4.1375,2.75
0.133,4.2125,2.7375
0.134,4.3,2.7375
0.135,4.375,2.7375
0.136,4.4625,2.75
0.137,4.5625,2.7375
0.138,4.65,2.7375
0.139,4.75,2.7375
0.14,4.8375,2.725
0.141,4.9375,2.7375
0.142,5.0375,2.725
0.143,5.1375,2.7375
0.144,5.25,2.75
0.145,5.3625,2.7375
0.146,5.4625,2.725
0.147,5.575,2.725
0.148,5.6875,2.725
0.149,5.8,2.7125
0.15,5.925,2.725
0.151,6.05,2.725
0.152,6.1625,2.7125
0.153,6.2875,2.7125
0.154,6.4125,2.7125
0.155,6.5375,2.7
0.156,6.675,2.7125
0.157,6.8,2.7
0.158,6.9375,2.7
0.159,7.075,2.6875
0.16,7.2125,2.7
0.161,7.35,2.7
0.162,7.5,2.6875
0.163,7.6375,2.675
0.164,7.775,2.6625
0.165,7.925,2.6625
0.166,8.0625,2.65
0.167,8.2125,2.6375
0.168,8.3625,2.6375
0.169,8.5125,2.6375
0.17,8.675,2.625
0.171,8.825,2.6125
0.172,8.9875,2.6
0.173,9.1375,2.5875
0.174,9.3,2.575
0.175,9.45,2.5625
0.176,9.6125,2.5625
0.177,9.775,2.5625
0.178,9.9375,2.5375
0.179,10.1,2.525
0.18,10.2625,2.5125
0.181,10.425,2.5
0.182,10.575,2.475
0.183,10.7375,2.4625
0.184,10.9,2.45
0.185,11.0625,2.45
0.186,11.225,2.4375
0.187,11.3875,2.4
0.188,11.55,2.3875
0.189,11.7125,2.3625
0.19,11.8875,2.3625
0.191,12.0625,2.35
0.192,12.225,2.325
0.193,12.3875,2.3125
0.194,12.5625,2.3125
0.195,12.75,2.3
0.196,12.9125,2.275
0.197,13.0875,2.2625
0.198,13.2625,2.2375
0.199,13.45,2.2375
0.2,13.625,2.2
0.201,13.8,2.1875
0.202,13.9875,2.175
0.203,14.175,2.1625
0.204,14.35,2.125
0.205,14.525,2.0875
0.206,14.7125,2.0625
0.207,14.9,2.05
0.208,15.1,2.0375
0.209,15.275,2.0125
0.21,15.475,2.025
0.211,15.65,1.9875
0.212,15.85,1.9625
0.213,16.0375,1.9375
