time_s,position_cm,theta_raw_cm
0.0,31.9125,1.8
0.001,31.7375,1.8125
0.002,31.575,1.8375
0.003,31.4,1.8375
0.004,31.225,1.85
0.005,31.05,1.8625
0.006,30.875,1.875
0.007,30.7,1.8875
0.008,30.525,1.9
0.009,30.35,1.9
0.01,30.1625,1.9125
0.011,29.975,1.925
0.012,29.8,1.925
0.013,29.625,1.9375
0.014,29.45,1.9625
0.015,29.2625,1.9625
0.016,29.0875,1.975
0.017,28.9,1.9875
0.018,28.7125,2.0
0.019,28.5375,2.0
0.02,28.35,2.0
0.021,28.175,2.0125
0.022,27.9875,2.0125
0.023,27.8125,2.0375
0.024,27.625,2.0375
0.025,27.45,2.05
0.026,27.2625,2.0625
0.027,27.075,2.05
0.028,26.9,2.0625
0.029,26.7125,2.0625
0.03,26.5375,2.075
0.031,26.35,2.075
0.032,26.175,2.0875
0.033,26.0,2.1
0.034,25.8125,2.1
0.035,25.625,2.1
0.036,25.45,2.1125
0.037,25.275,2.1125
0.038,25.0875,2.1125
0.039,24.9125,2.1125
0.04,24.7375,2.125
0.041,24.55,2.1125
0.042,24.3875,2.15
0.043,24.1875,2.125
0.044,24.025,2.1375
0.045,23.85,2.1375
0.046,23.675,2.1375
0.047,23.5,2.15
0.048,23.325,2.15
0.049,23.15,2.15
0.05,22.975,2.1625
0.051,22.8,2.1625
0.052,22.625,2.1625
0.053,22.4625,2.175
0.054,22.2875,2.175
0.055,22.1125,2.175
0.056,21.95,2.1875
0.057,21.775,2.1875
0.058,21.6125,2.1875
0.059,21.4375,2.2
0.06,21.275,2.2
0.061,21.1125,2.2
0.062,20.9375,2.2
0.063,20.775,2.2125
0.064,20.6125,2.225
0.065,20.4375,2.2125
0.066,20.2875,2.2375
0.067,20.1125,2.2375
0.068,19.95,2.25
0.069,19.7875,2.2375
0.07,19.625,2.25
0.071,19.4625,2.25
0.072,19.3,2.2625
0.073,19.1375,2.2625
0.074,18.975,2.2625
0.075,18.8125,2.2875
0.076,18.6375,2.2875
0.077,18.4875,2.2875
0.078,18.325,2.2875
0.079,18.1625,2.3
0.08,18.0,2.3
0.081,17.85,2.3125
0.082,17.6875,2.325
0.083,17.525,2.325
0.084,17.3625,2.35
0.085,17.2125,2.35
0.086,17.0625,2.3625
0.087,16.9,2.3625
0.088,16.7375,2.3625
0.089,16.575,2.3625
0.09,16.425,2.375
0.091,16.2625,2.375
0.092,16.1125,2.4
0.093,15.95,2.4125
0.094,15.8,2.4125
0.095,15.65,2.4125
0.096,15.5,2.425
0.097,15.3375,2.425
0.098,15.1875,2.4375
0.099,15.0375,2.45
0.1,14.875,2.45
0.101,14.725,2.4625
0.102,14.5875,2.475
0.103,14.425,2.4625
0.104,14.275,2.4625
0.105,14.1375,2.4875
0.106,13.9875,2.4875
0.107,13.8375,2.4875
0.108,13.6875,2.5
0.109,13.55,2.5375
0.11,13.4,2.525
0.111,13.25,2.5125
0.112,13.1125,2.525
0.113,12.975,2.5375
0.114,12.825,2.5375
0.115,12.6875,2.55
0.116,12.5375,2.55
0.117,12.4,2.5625
0.118,12.25,2.5625
0.119,12.125,2.5625
0.12,11.9875,2.575
0.121,11.85,2.575
0.122,11.7125,2.5875
0.123,11.575,2.5875
0.124,11.4375,2.5875
0.125,11.3,2.6
0.126,11.15,2.6
0.127,11.025,2.6
0.128,10.9,2.6125
0.129,10.7625,2.6
0.13,10.6375,2.6125
0.131,10.5,2.6125
0.132,10.375,2.625
0.133,10.2375,2.625
0.134,10.1125,2.625
0.135,9.975,2.625
0.136,9.8625,2.6375
0.137,9.7375,2.6375
0.138,9.6125,2.6375
0.139,9.4875,2.65
0.14,9.3625,2.6375
0.141,9.2375,2.65
0.142,9.1125,2.65
0.143,8.9875,2.65
0.144,8.875,2.65
0.145,8.75,2.65
0.146,8.6375,2.6625
0.147,8.525,2.6625
0.148,8.4,2.6625
0.149,8.2875,2.6625
0.15,8.175,2.675
0.151,8.05,2.6625
0.152,7.95,2.6875
0.153,7.8375,2.675
0.154,7.725,2.675
0.155,7.625,2.6875
0.156,7.525,2.7
0.157,7.4125,2.6875
0.158,7.3125,2.7
0.159,7.2125,2.7
0.16,7.1,2.6875
0.161,7.0125,2.7
0.162,6.9125,2.7
0.163,6.8125,2.7
0.164,6.725,2.7125
0.165,6.6375,2.7125
0.166,6.5375,2.7125
