time_s,position_cm,theta_raw_cm
0.213,6.975,0.025
0.214,6.975,0.025
0.215,6.975,0.025
0.216,6.975,0.0125
0.217,6.975,0.0125
0.218,3.675,0.1
0.219,6.975,0.0125
0.22,3.75,0.0625
0.221,3.85,0.125
0.222,3.95,0.1625
0.223,7.15,0.0125
0.224,7.2625,0.0125
0.225,4.075,0.1
0.226,4.2,0.1625
0.227,4.2,0.0875
0.228,4.35,0.175
0.229,4.3625,0.1125
0.23,4.3875,0.0625
0.231,4.55,0.1625
0.232,4.575,0.1125
0.233,4.625,0.075
0.234,4.8125,0.2
0.235,4.85,0.1625
0.236,4.9,0.125
0.237,7.95,2.8
0.238,8.0375,2.8
0.239,8.125,2.8125
0.24,5.15,0.0125
0.241,8.2875,2.7875
0.242,8.3875,2.8
0.243,8.475,2.8
0.244,8.5625,2.775
0.245,8.6625,2.7875
0.246,8.7625,2.7875
0.247,8.8625,2.7875
0.248,8.9625,2.7875
0.249,9.05,2.7875
0.25,9.175,2.7875
0.251,9.275,2.7875
0.252,9.375,2.775
0.253,9.4875,2.775
0.254,9.5875,2.7625
0.255,9.7,2.7625
0.256,9.8125,2.7625
0.257,9.925,2.7625
0.258,10.0375,2.75
0.259,10.15,2.7375
0.26,10.275,2.7375
0.261,10.3875,2.7375
0.262,10.5,2.725
0.263,10.625,2.725
0.264,10.75,2.725
0.265,10.8625,2.7125
0.266,11.0,2.725
0.267,11.125,2.7
0.268,11.25,2.7
0.269,11.375,2.6875
0.27,11.5,2.675
0.271,11.6375,2.6875
0.272,11.7625,2.675
0.273,11.8875,2.6625
0.274,12.025,2.675
0.275,12.1625,2.65
0.276,12.2875,2.6375
0.277,12.425,2.625
0.278,12.5625,2.6125
0.279,12.7,2.6125
0.28,12.85,2.6125
0.281,12.9875,2.6
0.282,13.125,2.6
0.283,13.275,2.5875
0.284,13.4125,2.5625
0.285,13.5625,2.5625
0.286,13.7125,2.5625
0.287,13.85,2.5375
0.288,14.0,2.525
0.289,14.15,2.525
0.29,14.2875,2.5125
0.291,14.45,2.5
0.292,14.5875,2.475
0.293,14.7375,2.4625
0.294,14.8875,2.45
0.295,15.0375,2.4375
0.296,15.2,2.425
0.297,15.35,2.4125
0.298,15.5,2.4125
0.299,15.65,2.4
0.3,15.8125,2.375
0.301,15.9625,2.3375
0.302,16.1125,2.325
0.303,16.275,2.3125
0.304,16.425,2.3
0.305,16.5875,2.2875
0.306,16.7375,2.275
0.307,16.9,2.275
0.308,17.0625,2.25
0.309,17.225,2.2375
0.31,17.375,2.2
0.311,17.5375,2.1875
0.312,17.7,2.175
0.313,17.8625,2.15
0.314,18.025,2.1375
0.315,18.1875,2.1375
0.316,18.35,2.1125
0.317,18.5125,2.075
0.318,18.675,2.05
0.319,18.8375,2.0375
0.32,19.0,2.025
0.321,19.1625,2.0125
0.322,19.325,1.9875
0.323,19.5,1.9875
0.324,19.6625,1.9875
0.325,19.825,1.95
0.326,19.9875,1.925
0.327,20.1625,1.925
0.328,20.325,1.9125
0.329,20.4875,1.8875
0.33,20.65,1.875
0.331,20.8125,1.875
0.332,20.975,1.8625
0.333,21.15,1.85
0.334,21.3,1.8125
0.335,21.4625,1.8125
0.336,21.625,1.8
0.337,21.7875,1.7875
0.338,21.9375,1.775
0.339,22.1125,1.7625
0.34,22.2625,1.75
0.341,22.425,1.7375
0.342,22.5875,1.725
0.343,22.7375,1.7125
0.344,22.9,1.7
0.345,23.05,1.6875
0.346,23.2125,1.6875
0.347,23.3625,1.6625
0.348,23.5125,1.6625
0.349,23.6625,1.65
0.35,23.825,1.6375
0.351,23.9625,1.625
0.352,24.1125,1.6125
0.353,24.2625,1.6
0.354,24.4125,1.5875
0.355,24.5625,1.575
0.356,24.7125,1.5625
0.357,24.85,1.5625
0.358,25.0,1.5375
0.359,25.15,1.525
0.36,25.2875,1.5
0.361,25.425,1.4875
0.362,25.5625,1.475
0.363,25.7125,1.4625
0.364,25.825,1.425
0.365,25.95,1.4125
0.366,26.0,1.3
0.367,26.2625,1.4
0.368,26.4125,1.4
0.369,26.5375,1.375
0.37,26.675,1.3625
0.371,26.8125,1.35
0.372,26.95,1.3375
0.373,27.075,1.325
0.374,27.2125,1.325
0.375,27.3375,1.2875
0.376,27.475,1.2875
0.377,27.6,1.275
0.378,27.7375,1.2625
0.379,27.8625,1.25
0.38,27.9875,1.2375
0.381,28.1125,1.225
0.382,28.2375,1.2125
0.383,28.3625,1.2
0.384,28.4875,1.1875
0.385,28.6125,1.1875
0.386,28.7125,1.15
0.387,28.75,1.05
0.388,28.925,1.0875
0.389,29.0625,1.1
0.39,29.1875,1.1125
0.391,29.3125,1.1
0.392,29.425,1.0875
0.393,29.5375,1.0875
0.394,29.65,1.075
0.395,29.75,1.0625
0.396,29.8625,1.05
0.397,29.975,1.05
0.398,30.075,1.0375
0.399,30.175,1.025
0.4,30.275,1.0125
0.401,30.375,1.0125
0.402,30.4625,0.9875
0.403,30.5625,0.9875
0.404,30.6625,0.9875
0.405,30.75,0.975
0.406,30.8375,0.9625
0.407,30.925,0.9625
0.408,31.0125,0.95
0.409,31.1,0.95
0.41,31.175,0.9375
0.411,31.2625,0.9375
0.412,31.3375,0.925
0.413,31.2375,0.7375
0.414,31.3,0.725
0.415,31.55,0.0125
0.416,31.6375,0.0625
0.417,31.7,0.8875
0.418,31.7625,0.8875
0.419,31.8375,0.8875
0.42,31.8875,0.875
0.421,31.95,0.8625
0.422,31.9875,0.8375
0.423,31.9875,0.7875
0.424,31.9875,0.725
0.425,31.9875,0.675
0.426,31.9875,0.625
0.427,31.9875,0.575
0.428,31.9875,0.5375
0.429,31.9875,0.5
0.43,31.9875,0.475
0.431,31.9875,0.4625
0.432,31.9875,0.4375
0.433,31.9875,0.4125
0.434,31.9875,0.4
0.435,31.9875,0.3875
0.436,31.9875,0.3625
0.437,31.9875,0.35
0.438,31.9875,0.35
0.439,31.9875,0.3375
0.44,31.9875,0.3375
0.441,31.9875,0.325
0.442,31.9875,0.325
0.443,31.9875,0.3125
0.444,31.9875,0.3125
0.445,31.9875,0.3
0.446,31.9875,0.3
0.447,31.9875,0.3
0.448,31.9875,0.3
0.449,31.9875,0.3
0.45,31.9875,0.3
0.451,31.9875,0.3
0.452,31.9875,0.3
0.453,31.9875,0.3
0.454,31.9875,0.3125
0.455,31.9875,0.3125
0.456,31.9875,0.325
0.457,31.9875,0.325
0.458,31.9875,0.3375
0.459,31.9875,0.3375
0.46,31.9875,0.35
0.461,31.9875,0.3625
0.462,31.9875,0.375
0.463,31.9875,0.3875
0.464,31.9875,0.4125
0.465,31.9875,0.425
0.466,31.9875,0.4375
0.467,31.9875,0.4625
0.468,31.9875,0.4875
0.469,31.9875,0.5125
0.47,31.9875,0.5375
0.471,31.9875,0.5875
0.472,31.9875,0.625
0.473,31.9875,0.675
0.474,31.9875,0.725
0.475,31.9875,0.7875
0.476,31.9625,0.8125
0.477,31.9125,0.8125
0.478,31.8625,0.825
0.479,31.8,0.825
0.48,31.75,0.8375
0.481,31.6875,0.8375
0.482,31.6125,0.8375
0.483,31.55,0.8375
0.484,31.475,0.8375
0.485,31.4125,0.85
0.486,31.3375,0.85
0.487,31.2625,0.85
0.488,31.1875,0.85
0.489,31.125,0.875
0.49,31.0375,0.8625
0.491,30.9625,0.875
0.492,30.875,0.875
0.493,30.8,0.8875
0.494,30.7,0.875
0.495,30.6125,0.875
0.496,30.525,0.8875
0.497,30.4375,0.9
0.498,30.35,0.9
0.499,30.0625,0.725
0.5,29.9625,0.725
0.501,29.875,0.7375
0.502,29.825,0.7875
0.503,29.8625,0.925
0.504,29.7625,0.9375
0.505,29.6625,0.95
0.506,29.5625,0.9625
0.507,29.4625,0.975
0.508,29.35,0.975
0.509,29.2375,0.975
0.51,29.125,0.9875
0.511,29.025,1.0
0.512,28.9,1.0
0.513,28.8,1.025
0.514,28.675,1.025
0.515,28.5625,1.0375
0.516,28.4375,1.0375
0.517,28.325,1.05
0.518,28.2,1.05
0.519,28.0875,1.075
0.52,27.9625,1.0875
0.521,27.8375,1.0875
0.522,27.725,1.1125
0.523,27.6,1.125
0.524,27.4,1.075
0.525,27.2875,1.0875
0.526,27.125,1.0625
0.527,27.05,1.125
0.528,26.95,1.175
0.529,26.825,1.1875
0.53,26.6875,1.1875
0.531,26.5625,1.2125
0.532,26.4375,1.2375
0.533,26.2875,1.2375
0.534,26.1625,1.25
0.535,26.025,1.2625
0.536,25.9,1.275
0.537,25.7625,1.2875
0.538,25.625,1.3
0.539,25.4875,1.3125
0.54,25.35,1.325
0.541,25.2125,1.35
0.542,25.075,1.35
0.543,24.9375,1.3625
0.544,24.8,1.375
0.545,24.6625,1.4
0.546,24.525,1.4125
0.547,24.375,1.4125
0.548,24.125,1.325
0.549,24.1,1.4625
0.55,23.95,1.45
0.551,23.8125,1.4625
0.552,23.675,1.475
0.553,23.5375,1.5
0.554,23.4,1.5125
0.555,23.25,1.525
0.556,23.1125,1.55
0.557,22.9625,1.5625
0.558,22.825,1.575
0.559,22.675,1.575
0.56,22.5375,1.6
0.561,22.3875,1.6
0.562,22.25,1.6125
0.563,22.1,1.625
0.564,21.9625,1.6375
0.565,21.8125,1.65
0.566,21.6625,1.6625
0.567,21.525,1.675
0.568,21.3875,1.6875
0.569,21.2375,1.7
0.57,21.0875,1.7
0.571,20.95,1.725
0.572,20.8125,1.75
0.573,20.6625,1.7625
0.574,20.5125,1.775
0.575,20.375,1.7875
0.576,20.225,1.7875
0.577,20.0875,1.8
0.578,19.95,1.8125
0.579,19.8,1.825
0.58,19.6625,1.8375
0.581,19.525,1.8625
0.582,19.375,1.875
0.583,19.225,1.875
0.584,19.0875,1.8875
0.585,18.95,1.9
0.586,18.8125,1.925
0.587,18.6625,1.925
0.588,18.525,1.95
0.589,18.3875,1.9625
0.59,18.2375,1.9875
0.591,18.1,2.0125
0.592,17.9625,2.0125
0.593,17.8125,2.025
0.594,17.675,2.0375
0.595,17.5375,2.05
0.596,17.4,2.0625
0.597,17.2625,2.075
0.598,17.125,2.125
0.599,16.9875,2.15
0.6,16.85,2.15
0.601,16.7125,2.1625
0.602,16.575,2.175
0.603,16.4375,2.1875
0.604,16.3,2.2125
0.605,16.1625,2.225
0.606,16.0375,2.2375
0.607,15.9,2.2625
0.608,15.7625,2.2625
0.609,15.6375,2.275
0.61,15.5,2.2875
0.611,15.375,2.3125
0.612,15.2375,2.3
0.613,15.1125,2.325
0.614,14.975,2.325
0.615,14.85,2.3625
0.616,14.725,2.375
0.617,14.6,2.3875
0.618,14.475,2.4
0.619,14.3375,2.3875
0.62,14.2125,2.4125
0.621,14.0875,2.425
0.622,13.9625,2.425
0.623,13.85,2.4625
0.624,13.725,2.475
0.625,13.6,2.475
0.626,13.475,2.475
0.627,13.3625,2.475
0.628,13.2375,2.4875
0.629,13.125,2.5
0.63,13.0125,2.5125
