time_s,position_cm,theta_raw_cm
0.215,11.0,2.8625
0.216,11.05,3.1125
0.217,11.1,3.1125
0.218,11.1375,3.0875
0.219,11.1875,3.0875
0.22,11.25,2.85
0.221,11.2875,3.0875
0.222,11.3375,3.1
0.223,11.4125,2.8625
0.224,11.4625,2.85
0.225,11.5125,2.85
0.226,11.575,2.85
0.227,11.625,2.8375
0.228,11.6875,2.8375
0.229,11.75,2.85
0.23,11.8125,2.85
0.231,11.8625,2.825
0.232,11.925,2.8125
0.233,11.9875,2.8125
0.234,12.05,2.8
0.235,12.125,2.8125
0.236,12.1875,2.8
0.237,12.2625,2.8
0.238,12.325,2.8
0.239,12.4,2.8
0.24,12.475,2.7875
0.241,12.55,2.7875
0.242,12.625,2.7875
0.243,12.7,2.775
0.244,12.775,2.775
0.245,12.85,2.7625
0.246,12.925,2.7625
0.247,13.0,2.7625
0.248,13.0875,2.7375
0.249,13.1625,2.725
0.25,13.25,2.725
0.251,13.325,2.7125
0.252,13.4125,2.7125
0.253,13.5,2.7125
0.254,13.5875,2.7
0.255,13.6625,2.7
0.256,13.7625,2.6875
0.257,13.85,2.675
0.258,13.9375,2.6625
0.259,14.025,2.6625
0.26,14.125,2.6625
0.261,14.2125,2.65
0.262,14.3125,2.6375
0.263,14.4,2.6375
0.264,14.5,2.65
0.265,14.5875,2.6
0.266,14.6875,2.6
0.267,14.7875,2.5875
0.268,14.8875,2.5875
0.269,14.9875,2.5875
0.27,15.075,2.5625
0.271,15.175,2.5625
0.272,15.275,2.5625
0.273,15.375,2.5375
0.274,15.475,2.525
0.275,15.575,2.5
0.276,15.6875,2.5
0.277,15.7875,2.4875
0.278,15.8875,2.475
0.279,15.9875,2.4625
0.28,16.1,2.475
0.281,16.2,2.4375
0.282,16.3,2.425
0.283,16.4125,2.4125
0.284,16.525,2.4
0.285,16.625,2.3875
0.286,16.7375,2.375
0.287,16.85,2.3625
0.288,16.95,2.35
0.289,17.0625,2.35
0.29,17.175,2.3125
0.291,17.275,2.2875
0.292,17.3875,2.275
0.293,17.5,2.2625
0.294,17.6125,2.25
0.295,17.725,2.225
0.296,17.8375,2.225
0.297,17.9625,2.225
0.298,18.075,2.2
0.299,18.1875,2.15
0.3,18.3,2.125
0.301,18.425,2.1125
0.302,18.5375,2.0875
0.303,18.65,2.075
0.304,18.775,2.0625
0.305,18.8875,2.05
0.306,19.0125,2.0375
0.307,19.125,2.0
0.308,19.25,1.9875
0.309,19.3625,1.9625
0.31,19.4875,1.95
0.311,19.6,1.9375
0.312,19.725,1.925
0.313,19.8375,1.9125
0.314,19.9625,1.9
0.315,20.0875,1.8625
0.316,20.2,1.85
0.317,20.325,1.825
0.318,20.4375,1.8125
0.319,20.5625,1.8
0.32,20.675,1.775
0.321,20.8,1.775
0.322,20.9125,1.75
0.323,21.05,1.7375
0.324,21.1625,1.7
0.325,21.2875,1.7
0.326,21.4,1.6625
0.327,21.525,1.65
0.328,21.65,1.65
0.329,21.7625,1.625
0.33,21.8875,1.625
0.331,22.0125,1.6
0.332,22.1375,1.5875
0.333,22.25,1.5625
0.334,22.375,1.55
0.335,22.5,1.5375
0.336,22.6125,1.5125
0.337,22.7375,1.5
0.338,22.85,1.475
0.339,22.975,1.475
0.34,22.9875,1.3375
0.341,23.2125,1.425
0.342,23.3375,1.4125
0.343,23.4625,1.4
0.344,23.575,1.375
0.345,23.7,1.3625
0.346,23.8125,1.3375
0.347,23.9375,1.3375
0.348,24.05,1.3
0.349,24.1625,1.2875
0.35,24.2875,1.275
0.351,24.4,1.25
0.352,24.5125,1.2375
0.353,24.625,1.2125
0.354,24.75,1.2
0.355,24.8625,1.1875
0.356,24.9375,1.125
0.357,25.0125,1.075
0.358,25.175,1.1125
0.359,25.3125,1.1125
0.36,25.425,1.1
0.361,25.525,1.075
0.362,25.6375,1.0625
0.363,25.75,1.0625
0.364,25.8625,1.0375
0.365,25.9625,1.025
0.366,26.075,1.0125
0.367,26.1875,1.0
0.368,26.2875,0.975
0.369,26.3875,0.9625
0.37,26.5,0.9625
0.371,26.6,0.95
0.372,26.6875,0.925
0.373,26.625,0.7375
0.374,26.9125,0.9125
0.375,27.0125,0.9
0.376,27.1125,0.8875
0.377,27.225,0.9
0.378,27.325,0.8875
